Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
distendre,растягивать,"<span class=""pronoun"">je</span> {{c1::distends}}<br><span class=""pronoun"">tu</span> {{c1::distends}}<br><span class=""pronoun"">il/elle</span> {{c1::distend}}","<span class=""pronoun"">nous</span> {{c2::distendons}}<br><span class=""pronoun"">vous</span> {{c2::distendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::distendent}}",-endre régulier,Se distendre.
déchoir,утрачивать,"<span class=""pronoun"">je</span> {{c1::déchois}}<br><span class=""pronoun"">tu</span> {{c1::déchois}}<br><span class=""pronoun"">il/elle</span> {{c1::déchoit}}","<span class=""pronoun"">nous</span> {{c2::déchoyons}}<br><span class=""pronoun"">vous</span> {{c2::déchoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déchoient}}",défectif,Déchoir de ses droits.
découdre,распарывать,"<span class=""pronoun"">je</span> {{c1::découds}}<br><span class=""pronoun"">tu</span> {{c1::découds}}<br><span class=""pronoun"">il/elle</span> {{c1::découd}}","<span class=""pronoun"">nous</span> {{c2::décousons}}<br><span class=""pronoun"">vous</span> {{c2::décousez}}<br><span class=""pronoun"">ils/elles</span> {{c2::décousent}}",-oudre,Comme coudre. En découdre = бороться.
démettre,смещать,"<span class=""pronoun"">je</span> {{c1::démets}}<br><span class=""pronoun"">tu</span> {{c1::démets}}<br><span class=""pronoun"">il/elle</span> {{c1::démet}}","<span class=""pronoun"">nous</span> {{c2::démettons}}<br><span class=""pronoun"">vous</span> {{c2::démettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::démettent}}",-ettre,Comme mettre. Se démettre l'épaule.
démordre,отступать,"<span class=""pronoun"">je</span> {{c1::démords}}<br><span class=""pronoun"">tu</span> {{c1::démords}}<br><span class=""pronoun"">il/elle</span> {{c1::démord}}","<span class=""pronoun"">nous</span> {{c2::démordons}}<br><span class=""pronoun"">vous</span> {{c2::démordez}}<br><span class=""pronoun"">ils/elles</span> {{c2::démordent}}",-ordre,Ne pas démordre de = упорствовать.
départir,наделять,"<span class=""pronoun"">je</span> {{c1::me dépars}}<br><span class=""pronoun"">tu</span> {{c1::te dépars}}<br><span class=""pronoun"">il/elle</span> {{c1::se départ}}","<span class=""pronoun"">nous</span> {{c2::nous départons}}<br><span class=""pronoun"">vous</span> {{c2::vous départez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se départent}}",-tir,Comme partir. Se départir de.
déprendre,освобождать,"<span class=""pronoun"">je</span> {{c1::me déprends}}<br><span class=""pronoun"">tu</span> {{c1::te déprends}}<br><span class=""pronoun"">il/elle</span> {{c1::se déprend}}","<span class=""pronoun"">nous</span> {{c2::nous déprenons}}<br><span class=""pronoun"">vous</span> {{c2::vous déprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se déprennent}}",-endre,Comme prendre. Se déprendre de.
dépérir,чахнуть,"<span class=""pronoun"">je</span> {{c1::dépéris}}<br><span class=""pronoun"">tu</span> {{c1::dépéris}}<br><span class=""pronoun"">il/elle</span> {{c1::dépérit}}","<span class=""pronoun"">nous</span> {{c2::dépérissons}}<br><span class=""pronoun"">vous</span> {{c2::dépérissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dépérissent}}",2e groupe -ir/-iss-,La plante dépérit.
déteindre,линять,"<span class=""pronoun"">je</span> {{c1::déteins}}<br><span class=""pronoun"">tu</span> {{c1::déteins}}<br><span class=""pronoun"">il/elle</span> {{c1::déteint}}","<span class=""pronoun"">nous</span> {{c2::déteignons}}<br><span class=""pronoun"">vous</span> {{c2::déteignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déteignent}}",-eindre,Comme teindre. Déteindre sur.
encourir,подвергаться,"<span class=""pronoun"">j'</span>{{c1::encours}}<br><span class=""pronoun"">tu</span> {{c1::encours}}<br><span class=""pronoun"">il/elle</span> {{c1::encourt}}","<span class=""pronoun"">nous</span> {{c2::encourons}}<br><span class=""pronoun"">vous</span> {{c2::encourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::encourent}}",-ourir,Comme courir. Encourir une peine.
endurcir,закалять,"<span class=""pronoun"">j'</span>{{c1::endurcis}}<br><span class=""pronoun"">tu</span> {{c1::endurcis}}<br><span class=""pronoun"">il/elle</span> {{c1::endurcit}}","<span class=""pronoun"">nous</span> {{c2::endurcissons}}<br><span class=""pronoun"">vous</span> {{c2::endurcissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::endurcissent}}",2e groupe -ir/-iss-,S'endurcir.
enjoindre,предписывать,"<span class=""pronoun"">j'</span>{{c1::enjoins}}<br><span class=""pronoun"">tu</span> {{c1::enjoins}}<br><span class=""pronoun"">il/elle</span> {{c1::enjoint}}","<span class=""pronoun"">nous</span> {{c2::enjoignons}}<br><span class=""pronoun"">vous</span> {{c2::enjoignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::enjoignent}}",-oindre,Comme joindre. Enjoindre à qqn de.
induire,наводить,"<span class=""pronoun"">j'</span>{{c1::induis}}<br><span class=""pronoun"">tu</span> {{c1::induis}}<br><span class=""pronoun"">il/elle</span> {{c1::induit}}","<span class=""pronoun"">nous</span> {{c2::induisons}}<br><span class=""pronoun"">vous</span> {{c2::induisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::induisent}}",-uire,Comme conduire. Induire en erreur.
intervertir,переставлять,"<span class=""pronoun"">j'</span>{{c1::intervertis}}<br><span class=""pronoun"">tu</span> {{c1::intervertis}}<br><span class=""pronoun"">il/elle</span> {{c1::intervertit}}","<span class=""pronoun"">nous</span> {{c2::intervertissons}}<br><span class=""pronoun"">vous</span> {{c2::intervertissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::intervertissent}}",2e groupe -ir/-iss-,Intervertir les rôles.
morfondre,томить,"<span class=""pronoun"">je</span> {{c1::me morfonds}}<br><span class=""pronoun"">tu</span> {{c1::te morfonds}}<br><span class=""pronoun"">il/elle</span> {{c1::se morfond}}","<span class=""pronoun"">nous</span> {{c2::nous morfondons}}<br><span class=""pronoun"">vous</span> {{c2::vous morfondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se morfondent}}",-ondre,Réfléchi: se morfondre.
moudre,молоть,"<span class=""pronoun"">je</span> {{c1::mouds}}<br><span class=""pronoun"">tu</span> {{c1::mouds}}<br><span class=""pronoun"">il/elle</span> {{c1::moud}}","<span class=""pronoun"">nous</span> {{c2::moulons}}<br><span class=""pronoun"">vous</span> {{c2::moulez}}<br><span class=""pronoun"">ils/elles</span> {{c2::moulent}}",-oudre,"moud- (sing), moul- (plur). Moudre du café."
méconnaître,не признавать,"<span class=""pronoun"">je</span> {{c1::méconnais}}<br><span class=""pronoun"">tu</span> {{c1::méconnais}}<br><span class=""pronoun"">il/elle</span> {{c1::méconnaît}}","<span class=""pronoun"">nous</span> {{c2::méconnaissons}}<br><span class=""pronoun"">vous</span> {{c2::méconnaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::méconnaissent}}",-aître,Comme connaître.
médire,злословить,"<span class=""pronoun"">je</span> {{c1::médis}}<br><span class=""pronoun"">tu</span> {{c1::médis}}<br><span class=""pronoun"">il/elle</span> {{c1::médit}}","<span class=""pronoun"">nous</span> {{c2::médisons}}<br><span class=""pronoun"">vous</span> {{c2::médisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::médisent}}",-ire,Comme dire. MAIS vous médisez!
nantir,обеспечивать,"<span class=""pronoun"">je</span> {{c1::nantis}}<br><span class=""pronoun"">tu</span> {{c1::nantis}}<br><span class=""pronoun"">il/elle</span> {{c1::nantit}}","<span class=""pronoun"">nous</span> {{c2::nantissons}}<br><span class=""pronoun"">vous</span> {{c2::nantissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::nantissent}}",2e groupe -ir/-iss-,Se nantir de.
oindre,помазывать,"<span class=""pronoun"">j'</span>{{c1::oins}}<br><span class=""pronoun"">tu</span> {{c1::oins}}<br><span class=""pronoun"">il/elle</span> {{c1::oint}}","<span class=""pronoun"">nous</span> {{c2::oignons}}<br><span class=""pronoun"">vous</span> {{c2::oignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::oignent}}",-oindre,Religieux. Oindre un roi.
proscrire,запрещать,"<span class=""pronoun"">je</span> {{c1::proscris}}<br><span class=""pronoun"">tu</span> {{c1::proscris}}<br><span class=""pronoun"">il/elle</span> {{c1::proscrit}}","<span class=""pronoun"">nous</span> {{c2::proscrivons}}<br><span class=""pronoun"">vous</span> {{c2::proscrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::proscrivent}}",-ire,Comme écrire.
prévaloir,преобладать,"<span class=""pronoun"">je</span> {{c1::prévaux}}<br><span class=""pronoun"">tu</span> {{c1::prévaux}}<br><span class=""pronoun"">il/elle</span> {{c1::prévaut}}","<span class=""pronoun"">nous</span> {{c2::prévalons}}<br><span class=""pronoun"">vous</span> {{c2::prévalez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prévalent}}",-aloir,Comme valoir. Se prévaloir de.
pâtir,страдать,"<span class=""pronoun"">je</span> {{c1::pâtis}}<br><span class=""pronoun"">tu</span> {{c1::pâtis}}<br><span class=""pronoun"">il/elle</span> {{c1::pâtit}}","<span class=""pronoun"">nous</span> {{c2::pâtissons}}<br><span class=""pronoun"">vous</span> {{c2::pâtissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::pâtissent}}",2e groupe -ir/-iss-,Pâtir de la situation.
quérir,искать,"<span class=""pronoun"">—}}<br><span class=""pronoun"">—}}<br><span class=""pronoun"">—}}",—,défectif,Seulement infinitif: aller quérir.
racornir,делать жёстким,"<span class=""pronoun"">je</span> {{c1::racornis}}<br><span class=""pronoun"">tu</span> {{c1::racornis}}<br><span class=""pronoun"">il/elle</span> {{c1::racornit}}","<span class=""pronoun"">nous</span> {{c2::racornissons}}<br><span class=""pronoun"">vous</span> {{c2::racornissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::racornissent}}",2e groupe -ir/-iss-,Se racornir.
radoucir,смягчать,"<span class=""pronoun"">je</span> {{c1::radoucis}}<br><span class=""pronoun"">tu</span> {{c1::radoucis}}<br><span class=""pronoun"">il/elle</span> {{c1::radoucit}}","<span class=""pronoun"">nous</span> {{c2::radoucissons}}<br><span class=""pronoun"">vous</span> {{c2::radoucissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::radoucissent}}",2e groupe -ir/-iss-,Se radoucir.
raffermir,укреплять,"<span class=""pronoun"">je</span> {{c1::raffermis}}<br><span class=""pronoun"">tu</span> {{c1::raffermis}}<br><span class=""pronoun"">il/elle</span> {{c1::raffermit}}","<span class=""pronoun"">nous</span> {{c2::raffermissons}}<br><span class=""pronoun"">vous</span> {{c2::raffermissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::raffermissent}}",2e groupe -ir/-iss-,Se raffermir.
ramollir,размягчать,"<span class=""pronoun"">je</span> {{c1::ramollis}}<br><span class=""pronoun"">tu</span> {{c1::ramollis}}<br><span class=""pronoun"">il/elle</span> {{c1::ramollit}}","<span class=""pronoun"">nous</span> {{c2::ramollissons}}<br><span class=""pronoun"">vous</span> {{c2::ramollissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ramollissent}}",2e groupe -ir/-iss-,Se ramollir.
ravoir,получать обратно,"<span class=""pronoun"">—}}<br><span class=""pronoun"">—}}<br><span class=""pronoun"">—}}",—,défectif,Seulement infinitif: je vais ravoir.
rebattre,повторять,"<span class=""pronoun"">je</span> {{c1::rebats}}<br><span class=""pronoun"">tu</span> {{c1::rebats}}<br><span class=""pronoun"">il/elle</span> {{c1::rebat}}","<span class=""pronoun"">nous</span> {{c2::rebattons}}<br><span class=""pronoun"">vous</span> {{c2::rebattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rebattent}}",-attre,Comme battre. Rebattre les oreilles.
reconquérir,отвоёвывать,"<span class=""pronoun"">je</span> {{c1::reconquiers}}<br><span class=""pronoun"">tu</span> {{c1::reconquiers}}<br><span class=""pronoun"">il/elle</span> {{c1::reconquiert}}","<span class=""pronoun"">nous</span> {{c2::reconquérons}}<br><span class=""pronoun"">vous</span> {{c2::reconquérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reconquièrent}}",-érir,Comme conquérir.
redécouvrir,открывать заново,"<span class=""pronoun"">je</span> {{c1::redécouvre}}<br><span class=""pronoun"">tu</span> {{c1::redécouvres}}<br><span class=""pronoun"">il/elle</span> {{c1::redécouvre}}","<span class=""pronoun"">nous</span> {{c2::redécouvrons}}<br><span class=""pronoun"">vous</span> {{c2::redécouvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::redécouvrent}}",-vrir (comme -er),Comme découvrir.
reluire,блестеть,"<span class=""pronoun"">je</span> {{c1::reluis}}<br><span class=""pronoun"">tu</span> {{c1::reluis}}<br><span class=""pronoun"">il/elle</span> {{c1::reluit}}","<span class=""pronoun"">nous</span> {{c2::reluisons}}<br><span class=""pronoun"">vous</span> {{c2::reluisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reluisent}}",-uire,Comme luire.
rembrunir,омрачать,"<span class=""pronoun"">je</span> {{c1::rembrunis}}<br><span class=""pronoun"">tu</span> {{c1::rembrunis}}<br><span class=""pronoun"">il/elle</span> {{c1::rembrunit}}","<span class=""pronoun"">nous</span> {{c2::rembrunissons}}<br><span class=""pronoun"">vous</span> {{c2::rembrunissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rembrunissent}}",2e groupe -ir/-iss-,Se rembrunir.
repaître,насыщать,"<span class=""pronoun"">je</span> {{c1::repais}}<br><span class=""pronoun"">tu</span> {{c1::repais}}<br><span class=""pronoun"">il/elle</span> {{c1::repaît}}","<span class=""pronoun"">nous</span> {{c2::repaissons}}<br><span class=""pronoun"">vous</span> {{c2::repaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::repaissent}}",défectif,Comme paître. Se repaître de.
resservir,подавать снова,"<span class=""pronoun"">je</span> {{c1::ressers}}<br><span class=""pronoun"">tu</span> {{c1::ressers}}<br><span class=""pronoun"">il/elle</span> {{c1::ressert}}","<span class=""pronoun"">nous</span> {{c2::resservons}}<br><span class=""pronoun"">vous</span> {{c2::resservez}}<br><span class=""pronoun"">ils/elles</span> {{c2::resservent}}",-vir,Comme servir.
ressouvenir,вспоминать,"<span class=""pronoun"">je</span> {{c1::me ressouviens}}<br><span class=""pronoun"">tu</span> {{c1::te ressouviens}}<br><span class=""pronoun"">il/elle</span> {{c1::se ressouvient}}","<span class=""pronoun"">nous</span> {{c2::nous ressouvenons}}<br><span class=""pronoun"">vous</span> {{c2::vous ressouvenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se ressouviennent}}",-enir,Comme souvenir. Littéraire.
restreindre,ограничивать,"<span class=""pronoun"">je</span> {{c1::restreins}}<br><span class=""pronoun"">tu</span> {{c1::restreins}}<br><span class=""pronoun"">il/elle</span> {{c1::restreint}}","<span class=""pronoun"">nous</span> {{c2::restreignons}}<br><span class=""pronoun"">vous</span> {{c2::restreignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::restreignent}}",-eindre,Comme craindre. Se restreindre.
retordre,скручивать,"<span class=""pronoun"">je</span> {{c1::retords}}<br><span class=""pronoun"">tu</span> {{c1::retords}}<br><span class=""pronoun"">il/elle</span> {{c1::retord}}","<span class=""pronoun"">nous</span> {{c2::retordons}}<br><span class=""pronoun"">vous</span> {{c2::retordez}}<br><span class=""pronoun"">ils/elles</span> {{c2::retordent}}",-ordre,Comme tordre. Donner du fil à retordre.
retransmettre,ретранслировать,"<span class=""pronoun"">je</span> {{c1::retransmets}}<br><span class=""pronoun"">tu</span> {{c1::retransmets}}<br><span class=""pronoun"">il/elle</span> {{c1::retransmet}}","<span class=""pronoun"">nous</span> {{c2::retransmettons}}<br><span class=""pronoun"">vous</span> {{c2::retransmettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::retransmettent}}",-ettre,Comme transmettre.
revaloir,отплатить,"<span class=""pronoun"">—}}<br><span class=""pronoun"">—}}<br><span class=""pronoun"">—}}",—,défectif,Surtout futur: je te le revaudrai!
réapprendre,переучивать,"<span class=""pronoun"">je</span> {{c1::réapprends}}<br><span class=""pronoun"">tu</span> {{c1::réapprends}}<br><span class=""pronoun"">il/elle</span> {{c1::réapprend}}","<span class=""pronoun"">nous</span> {{c2::réapprenons}}<br><span class=""pronoun"">vous</span> {{c2::réapprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::réapprennent}}",-endre,Comme apprendre.
réécrire,переписывать,"<span class=""pronoun"">je</span> {{c1::réécris}}<br><span class=""pronoun"">tu</span> {{c1::réécris}}<br><span class=""pronoun"">il/elle</span> {{c1::réécrit}}","<span class=""pronoun"">nous</span> {{c2::réécrivons}}<br><span class=""pronoun"">vous</span> {{c2::réécrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::réécrivent}}",-ire,Comme écrire.
réélire,переизбирать,"<span class=""pronoun"">je</span> {{c1::réélis}}<br><span class=""pronoun"">tu</span> {{c1::réélis}}<br><span class=""pronoun"">il/elle</span> {{c1::réélit}}","<span class=""pronoun"">nous</span> {{c2::réélisons}}<br><span class=""pronoun"">vous</span> {{c2::réélisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::réélisent}}",-ire,Comme élire.
saillir,выступать,"<span class=""pronoun"">il</span> {{c1::saille}}","<span class=""pronoun"">ils</span> {{c2::saillent}}",défectif,Surtout 3e personne (sens: выступать).
sourdre,бить ключом,"<span class=""pronoun"">il</span> {{c1::sourd}}","<span class=""pronoun"">ils</span> {{c2::sourdent}}",défectif,Littéraire. L'eau sourd.
sous-entendre,подразумевать,"<span class=""pronoun"">je</span> {{c1::sous-entends}}<br><span class=""pronoun"">tu</span> {{c1::sous-entends}}<br><span class=""pronoun"">il/elle</span> {{c1::sous-entend}}","<span class=""pronoun"">nous</span> {{c2::sous-entendons}}<br><span class=""pronoun"">vous</span> {{c2::sous-entendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::sous-entendent}}",-endre régulier,Comme entendre.
souscrire,подписываться,"<span class=""pronoun"">je</span> {{c1::souscris}}<br><span class=""pronoun"">tu</span> {{c1::souscris}}<br><span class=""pronoun"">il/elle</span> {{c1::souscrit}}","<span class=""pronoun"">nous</span> {{c2::souscrivons}}<br><span class=""pronoun"">vous</span> {{c2::souscrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::souscrivent}}",-ire,Comme écrire. Souscrire à.
subvenir,удовлетворять (нужды),"<span class=""pronoun"">je</span> {{c1::subviens}}<br><span class=""pronoun"">tu</span> {{c1::subviens}}<br><span class=""pronoun"">il/elle</span> {{c1::subvient}}","<span class=""pronoun"">nous</span> {{c2::subvenons}}<br><span class=""pronoun"">vous</span> {{c2::subvenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::subviennent}}",-enir,Comme venir. Subvenir à ses besoins.
transcrire,переписывать,"<span class=""pronoun"">je</span> {{c1::transcris}}<br><span class=""pronoun"">tu</span> {{c1::transcris}}<br><span class=""pronoun"">il/elle</span> {{c1::transcrit}}","<span class=""pronoun"">nous</span> {{c2::transcrivons}}<br><span class=""pronoun"">vous</span> {{c2::transcrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::transcrivent}}",-ire,Comme écrire.
transir,пронизывать,"<span class=""pronoun"">je</span> {{c1::transis}}<br><span class=""pronoun"">tu</span> {{c1::transis}}<br><span class=""pronoun"">il/elle</span> {{c1::transit}}","<span class=""pronoun"">nous</span> {{c2::transissons}}<br><span class=""pronoun"">vous</span> {{c2::transissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::transissent}}",2e groupe -ir/-iss-,Transi de froid.
transparaître,просвечивать,"<span class=""pronoun"">il</span> {{c1::transparaît}}","<span class=""pronoun"">ils</span> {{c2::transparaissent}}",-aître,Comme paraître. Surtout 3e personne.
verdir,зеленеть,"<span class=""pronoun"">je</span> {{c1::verdis}}<br><span class=""pronoun"">tu</span> {{c1::verdis}}<br><span class=""pronoun"">il/elle</span> {{c1::verdit}}","<span class=""pronoun"">nous</span> {{c2::verdissons}}<br><span class=""pronoun"">vous</span> {{c2::verdissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::verdissent}}",2e groupe -ir/-iss-,Verdir de peur.
ébattre,резвиться,"<span class=""pronoun"">je</span> {{c1::m'ébats}}<br><span class=""pronoun"">tu</span> {{c1::t'ébats}}<br><span class=""pronoun"">il/elle</span> {{c1::s'ébat}}","<span class=""pronoun"">nous</span> {{c2::nous ébattons}}<br><span class=""pronoun"">vous</span> {{c2::vous ébattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'ébattent}}",-attre,Comme battre. Réfléchi: s'ébattre.
échoir,выпадать на долю,"<span class=""pronoun"">il</span> {{c1::échoit}}","<span class=""pronoun"">ils</span> {{c2::échoient}}",défectif,Surtout 3e personne. Le cas échéant.
éclore,распускаться,"<span class=""pronoun"">il</span> {{c1::éclôt}}","<span class=""pronoun"">ils</span> {{c2::éclosent}}",défectif,Surtout 3e personne. Les fleurs éclosent.
éconduire,выпроваживать,"<span class=""pronoun"">j'</span>{{c1::éconduis}}<br><span class=""pronoun"">tu</span> {{c1::éconduis}}<br><span class=""pronoun"">il/elle</span> {{c1::éconduit}}","<span class=""pronoun"">nous</span> {{c2::éconduisons}}<br><span class=""pronoun"">vous</span> {{c2::éconduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::éconduisent}}",-uire,Comme conduire.
épandre,разбрасывать,"<span class=""pronoun"">j'</span>{{c1::épands}}<br><span class=""pronoun"">tu</span> {{c1::épands}}<br><span class=""pronoun"">il/elle</span> {{c1::épand}}","<span class=""pronoun"">nous</span> {{c2::épandons}}<br><span class=""pronoun"">vous</span> {{c2::épandez}}<br><span class=""pronoun"">ils/elles</span> {{c2::épandent}}",-endre régulier,Épandre du fumier.
flétrir,увядать,"<span class=""pronoun"">je</span> {{c1::flétris}}<br><span class=""pronoun"">tu</span> {{c1::flétris}}<br><span class=""pronoun"">il/elle</span> {{c1::flétrit}}","<span class=""pronoun"">nous</span> {{c2::flétrissons}}<br><span class=""pronoun"">vous</span> {{c2::flétrissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::flétrissent}}",2e groupe -ir/-iss-,Se flétrir.
déguerpir,убираться,"<span class=""pronoun"">je</span> {{c1::déguerpis}}<br><span class=""pronoun"">tu</span> {{c1::déguerpis}}<br><span class=""pronoun"">il/elle</span> {{c1::déguerpit}}","<span class=""pronoun"">nous</span> {{c2::déguerpissons}}<br><span class=""pronoun"">vous</span> {{c2::déguerpissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déguerpissent}}",2e groupe -ir/-iss-,Familier. Déguerpi d'ici!
dégauchir,выравнивать,"<span class=""pronoun"">je</span> {{c1::dégauchis}}<br><span class=""pronoun"">tu</span> {{c1::dégauchis}}<br><span class=""pronoun"">il/elle</span> {{c1::dégauchit}}","<span class=""pronoun"">nous</span> {{c2::dégauchissons}}<br><span class=""pronoun"">vous</span> {{c2::dégauchissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dégauchissent}}",2e groupe -ir/-iss-,Technique (menuiserie).
ragaillardir,приободрять,"<span class=""pronoun"">je</span> {{c1::ragaillardis}}<br><span class=""pronoun"">tu</span> {{c1::ragaillardis}}<br><span class=""pronoun"">il/elle</span> {{c1::ragaillardit}}","<span class=""pronoun"">nous</span> {{c2::ragaillardissons}}<br><span class=""pronoun"">vous</span> {{c2::ragaillardissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ragaillardissent}}",2e groupe -ir/-iss-,Ça me ragaillardit!
courre,травить,"<span class=""pronoun"">—}}<br><span class=""pronoun"">—}}<br><span class=""pronoun"">—}}",—,défectif,Seulement infinitif: chasse à courre.
raire,трубить (об олене),"<span class=""pronoun"">il</span> {{c1::rait}}",—,défectif,Très rare. Le cerf rait.
bonnir,мошенничать,"<span class=""pronoun"">je</span> {{c1::bonnis}}<br><span class=""pronoun"">tu</span> {{c1::bonnis}}<br><span class=""pronoun"">il/elle</span> {{c1::bonnit}}","<span class=""pronoun"">nous</span> {{c2::bonnissons}}<br><span class=""pronoun"">vous</span> {{c2::bonnissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::bonnissent}}",2e groupe -ir/-iss-,Argot vieilli.
tartir,faire défaut,"<span class=""pronoun"">—}}<br><span class=""pronoun"">—}}<br><span class=""pronoun"">—}}",—,défectif,Argot. Seulement: se faire tartir.
acheter,покупать,"<span class=""pronoun"">j'</span>{{c1::achète}}<br><span class=""pronoun"">tu</span> {{c1::achètes}}<br><span class=""pronoun"">il/elle</span> {{c1::achète}}","<span class=""pronoun"">nous</span> {{c2::achetons}}<br><span class=""pronoun"">vous</span> {{c2::achetez}}<br><span class=""pronoun"">ils/elles</span> {{c2::achètent}}",e → è (acheter),"Groupe 1 (-er). ПАТТЕРН: e→è перед немым слогом. Как: lever, mener."
lever,поднимать,"<span class=""pronoun"">je</span> {{c1::lève}}<br><span class=""pronoun"">tu</span> {{c1::lèves}}<br><span class=""pronoun"">il/elle</span> {{c1::lève}}","<span class=""pronoun"">nous</span> {{c2::levons}}<br><span class=""pronoun"">vous</span> {{c2::levez}}<br><span class=""pronoun"">ils/elles</span> {{c2::lèvent}}",e → è (lever),Groupe 1 (-er). ПАТТЕРН e→è. Se lever = вставать (Être!).
mener,вести,"<span class=""pronoun"">je</span> {{c1::mène}}<br><span class=""pronoun"">tu</span> {{c1::mènes}}<br><span class=""pronoun"">il/elle</span> {{c1::mène}}","<span class=""pronoun"">nous</span> {{c2::menons}}<br><span class=""pronoun"">vous</span> {{c2::menez}}<br><span class=""pronoun"">ils/elles</span> {{c2::mènent}}",e → è (mener),"Groupe 1 (-er). ПАТТЕРН e→è. Как: amener, emmener, promener."
appeler,"звонить, называть","<span class=""pronoun"">j'</span>{{c1::appelle}}<br><span class=""pronoun"">tu</span> {{c1::appelles}}<br><span class=""pronoun"">il/elle</span> {{c1::appelle}}","<span class=""pronoun"">nous</span> {{c2::appelons}}<br><span class=""pronoun"">vous</span> {{c2::appelez}}<br><span class=""pronoun"">ils/elles</span> {{c2::appellent}}",doublement -ll (appeler),Groupe 1 (-er). ПАТТЕРН: l→ll перед немым слогом. S'appeler = называться.
jeter,бросать,"<span class=""pronoun"">je</span> {{c1::jette}}<br><span class=""pronoun"">tu</span> {{c1::jettes}}<br><span class=""pronoun"">il/elle</span> {{c1::jette}}","<span class=""pronoun"">nous</span> {{c2::jetons}}<br><span class=""pronoun"">vous</span> {{c2::jetez}}<br><span class=""pronoun"">ils/elles</span> {{c2::jettent}}",doublement -tt (jeter),"Groupe 1 (-er). ПАТТЕРН: t→tt перед немым слогом. Как: projeter, rejeter."
payer,платить,"<span class=""pronoun"">je</span> {{c1::paie}}<br><span class=""pronoun"">tu</span> {{c1::paies}}<br><span class=""pronoun"">il/elle</span> {{c1::paie}}","<span class=""pronoun"">nous</span> {{c2::payons}}<br><span class=""pronoun"">vous</span> {{c2::payez}}<br><span class=""pronoun"">ils/elles</span> {{c2::paient}}",y → i (payer),Groupe 1 (-er). ПАТТЕРН -ayer: y→i (опционально: je paye тоже верно).
envoyer,отправлять,"<span class=""pronoun"">j'</span>{{c1::envoie}}<br><span class=""pronoun"">tu</span> {{c1::envoies}}<br><span class=""pronoun"">il/elle</span> {{c1::envoie}}","<span class=""pronoun"">nous</span> {{c2::envoyons}}<br><span class=""pronoun"">vous</span> {{c2::envoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::envoient}}",y → i + irrég futur,Groupe 1 (-er). ПАТТЕРН -oyer: y→i. ОСОБЫЙ futur: j'enverrai (не *envoyerai)!
