French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
"bavard, bavarde",болтливый,Elle est <b>bavarde</b>.,Она <b>болтливая</b>.,🗣️,adj
un fichier,файл,Ouvrir un <b>fichier</b>.,Открыть <b>файл</b>.,📁,m
improviser,импровизировать,<b>Improviser</b> un discours.,<b>Импровизировать</b> речь.,🎤,v
rauque,хриплый,Une voix <b>rauque</b>.,<b>Хриплый</b> голос.,🗣️,adj
engouffrer,поглощать,S'<b>engouffrer</b> dans le métro.,<b>Устремиться</b> в метро.,🚇,v
neutre,нейтральный,Un terrain <b>neutre</b>.,<b>Нейтральная</b> территория.,⚖️,adj
réconforter,утешать,<b>Réconforter</b> un ami.,<b>Утешить</b> друга.,🤗,v
une marmite,кастрюля,Une <b>marmite</b> de soupe.,<b>Кастрюля</b> супа.,🍲,f
infâme,бесчестный,Un acte <b>infâme</b>.,<b>Бесчестный</b> поступок.,😤,adj
un galon,галун; нашивка,Gagner ses <b>galons</b>.,Заслужить <b>погоны</b>.,🎖️,m
un taux,ставка,Le <b>taux</b> d'intérêt.,Процентная <b>ставка</b>.,📊,m
une frite,картошка фри,Des <b>frites</b> belges.,Бельгийская <b>картошка фри</b>.,🍟,f
"matinal, matinale",утренний,Une promenade <b>matinale</b>.,<b>Утренняя</b> прогулка.,🌅,adj
un rituel,ритуал,Un <b>rituel</b> quotidien.,Ежедневный <b>ритуал</b>.,📿,m
réapparaître,вновь появляться,<b>Réapparaître</b> soudain.,Внезапно <b>появиться</b> вновь.,👻,v
tutoyer,обращаться на «ты»,On peut se <b>tutoyer</b> ?,Можем на «<b>ты</b>»?,👋,v
une lassitude,усталость,Une grande <b>lassitude</b>.,Большая <b>усталость</b>.,😩,f
"pascal, pascale",пасхальный,L'agneau <b>pascal</b>.,<b>Пасхальный</b> агнец.,🐑,adj
"ému, émue",растроганный,Je suis <b>ému</b>.,Я <b>растроган</b>.,🥲,adj
"latin, latine",латинский,La culture <b>latine</b>.,<b>Латинская</b> культура.,📜,adj
"monté, montée",поднявшийся; взведённый,Un cheval <b>monté</b>.,<b>Осёдланная</b> лошадь.,🐎,adj
une correction,исправление,Apporter une <b>correction</b>.,Внести <b>исправление</b>.,✍️,f
un by,бай; пока,"<b>By</b>, à plus !",<b>Пока</b>!,👋,m
un contour,контур,Les <b>contours</b> du visage.,<b>Контуры</b> лица.,✏️,m
une opposition,оппозиция,L'<b>opposition</b> politique.,Политическая <b>оппозиция</b>.,⚔️,f
un képi,кепи,Le <b>képi</b> du gendarme.,<b>Кепи</b> жандарма.,👮,m
pécher,грешить,<b>Pécher</b> par orgueil.,<b>Грешить</b> гордыней.,😇,v
une dépense,расход,Réduire les <b>dépenses</b>.,Сократить <b>расходы</b>.,💸,f
une craie,мел,Écrire à la <b>craie</b>.,Писать <b>мелом</b>.,✍️,f
exclamer,восклицать,S'<b>exclamer</b> de joie.,<b>Воскликнуть</b> от радости.,😃,v
une vibration,вибрация,Une légère <b>vibration</b>.,Лёгкая <b>вибрация</b>.,📳,f
"assuré, assurée",уверенный,Un pas <b>assuré</b>.,<b>Уверенный</b> шаг.,💪,adj
un heureux,счастливец,Faire des <b>heureux</b>.,Осчастливить.,😊,m
un escargot,улитка,Un <b>escargot</b> de Bourgogne.,Бургундская <b>улитка</b>.,🐌,m
une sentinelle,часовой,Une <b>sentinelle</b> vigilante.,Бдительный <b>часовой</b>.,💂,f
une déposition,показание,Faire une <b>déposition</b>.,Дать <b>показания</b>.,📝,f
abominable,отвратительный,Un crime <b>abominable</b>.,<b>Отвратительное</b> преступление.,🤢,adj
nature,натуральный; простой,Un yaourt <b>nature</b>.,<b>Натуральный</b> йогурт.,🥛,adj
un éclairage,освещение,Un bon <b>éclairage</b>.,Хорошее <b>освещение</b>.,💡,m
un adjoint,заместитель,L'<b>adjoint</b> au maire.,<b>Заместитель</b> мэра.,👔,m
un dirigeant,руководитель,Un <b>dirigeant</b> d'entreprise.,<b>Руководитель</b> компании.,👨‍💼,m
une lisière,опушка,À la <b>lisière</b> de la forêt.,На <b>опушке</b> леса.,🌲,f
un réfugié,беженец,Un camp de <b>réfugiés</b>.,Лагерь <b>беженцев</b>.,🏕️,m
une constitution,конституция,La <b>Constitution</b> française.,Французская <b>конституция</b>.,📜,f
une volée,стая; залп,Une <b>volée</b> d'oiseaux.,<b>Стая</b> птиц.,🐦,f
"joint, jointe",приложенный,Voir pièce <b>jointe</b>.,Смотри <b>вложение</b>.,📎,adj
un joint,стык; косяк,Un <b>joint</b> de fenêtre.,Оконный <b>уплотнитель</b>.,🪟,m
un débarquement,высадка,Le <b>débarquement</b> en Normandie.,<b>Высадка</b> в Нормандии.,⚓,m
un jazz,джаз,Un concert de <b>jazz</b>.,<b>Джазовый</b> концерт.,🎷,m
une méchanceté,злоба,Dire des <b>méchancetés</b>.,Говорить <b>злости</b>.,😠,f
prêcher,проповедовать,<b>Prêcher</b> la paix.,<b>Проповедовать</b> мир.,⛪,v
terne,тусклый,Un regard <b>terne</b>.,<b>Тусклый</b> взгляд.,😐,adj
dorer,золотить,<b>Dorer</b> le poulet.,<b>Подрумянить</b> курицу.,🍗,v
un relais,эстафета,Un <b>relais</b> routier.,Придорожный <b>мотель</b>.,🏨,m
un gouffre,пропасть,Un <b>gouffre</b> financier.,Финансовая <b>пропасть</b>.,💸,m
chantonner,напевать,<b>Chantonner</b> une mélodie.,<b>Напевать</b> мелодию.,🎵,v
un biais,уловка; наклон,Par le <b>biais</b> de.,<b>Посредством</b>.,↗️,m
un crocodile,крокодил,Le <b>crocodile</b> nage.,<b>Крокодил</b> плывёт.,🐊,m
"confidentiel, confidentielle",конфиденциальный,Un document <b>confidentiel</b>.,<b>Конфиденциальный</b> документ.,🔒,adj
un veston,пиджак,Un <b>veston</b> élégant.,Элегантный <b>пиджак</b>.,🧥,m
rebelle,мятежный,Un esprit <b>rebelle</b>.,<b>Мятежный</b> дух.,✊,m/f
alerte,бодрый,Un esprit <b>alerte</b>.,<b>Бодрый</b> ум.,🧠,adj
un mi,нота ми,Un <b>mi</b> bémol.,<b>Ми</b> бемоль.,🎵,m
un fardeau,бремя,Un lourd <b>fardeau</b>.,Тяжёлое <b>бремя</b>.,💼,m
un déplacement,перемещение,Un <b>déplacement</b> professionnel.,<b>Командировка</b>.,✈️,m
un puzzle,головоломка,Assembler un <b>puzzle</b>.,Собирать <b>пазл</b>.,🧩,m
un supplice,пытка,C'est un <b>supplice</b>.,Это <b>пытка</b>.,😫,m
une condamnation,приговор,Une <b>condamnation</b> à mort.,Смертный <b>приговор</b>.,⚖️,f
une locomotive,локомотив,La <b>locomotive</b> à vapeur.,Паровой <b>локомотив</b>.,🚂,f
dévaler,скатываться,<b>Dévaler</b> la pente.,<b>Скатиться</b> с горы.,⛷️,v
"anormal, anormale",ненормальный,Une situation <b>anormale</b>.,<b>Ненормальная</b> ситуация.,⚠️,adj
une traduction,перевод,Une <b>traduction</b> fidèle.,Верный <b>перевод</b>.,📖,f
scruter,пристально смотреть,<b>Scruter</b> l'horizon.,<b>Вглядываться</b> в горизонт.,👀,v
un acide,кислота,Un <b>acide</b> corrosif.,Коррозийная <b>кислота</b>.,🧪,m
une carotte,морковь,Une <b>carotte</b> râpée.,Тёртая <b>морковь</b>.,🥕,f
un triangle,треугольник,Un <b>triangle</b> équilatéral.,Равносторонний <b>треугольник</b>.,📐,m
un égout,канализация,Les <b>égouts</b> de Paris.,Парижская <b>канализация</b>.,🕳️,m
coopérer,сотрудничать,<b>Coopérer</b> avec la police.,<b>Сотрудничать</b> с полицией.,🤝,v
puiser,черпать,<b>Puiser</b> de l'eau.,<b>Черпать</b> воду.,💧,v
un enseignement,обучение,L'<b>enseignement</b> supérieur.,Высшее <b>образование</b>.,🎓,m
"guerrier, guerrière",воинственный,Un peuple <b>guerrier</b>.,<b>Воинственный</b> народ.,⚔️,adj
"tué, tuée",убитый,Un homme <b>tué</b>.,<b>Убитый</b> мужчина.,💀,adj
un gravier,гравий,Une allée de <b>gravier</b>.,Аллея из <b>гравия</b>.,🪨,m
un dauphin,дельфин,Un <b>dauphin</b> joueur.,Игривый <b>дельфин</b>.,🐬,m
une détente,расслабление,Un moment de <b>détente</b>.,Момент <b>расслабления</b>.,😌,f
brailler,орать,Arrête de <b>brailler</b>.,Хватит <b>орать</b>.,📢,v
"revenu, revenue",вернувшийся,Elle est <b>revenue</b>.,Она <b>вернулась</b>.,↩️,adj
une parade,парад,Une <b>parade</b> militaire.,Военный <b>парад</b>.,🎖️,f
un édifice,здание,Un <b>édifice</b> imposant.,Внушительное <b>здание</b>.,🏛️,m
équiper,оснащать,<b>Équiper</b> une cuisine.,<b>Оснастить</b> кухню.,🔧,v
diabolique,дьявольский,Un plan <b>diabolique</b>.,<b>Дьявольский</b> план.,😈,adj
intégrer,интегрировать,<b>Intégrer</b> une équipe.,<b>Влиться</b> в команду.,👥,v
"paternel, paternelle",отцовский,L'amour <b>paternel</b>.,<b>Отцовская</b> любовь.,👨,adj
une amende,штраф,Payer une <b>amende</b>.,Заплатить <b>штраф</b>.,💸,f
un surcroît,добавка,Un <b>surcroît</b> de travail.,Дополнительная <b>нагрузка</b>.,➕,m
une brigadière,бригадир (ж.р.),La <b>brigadière</b> dirige l'équipe.,<b>Бригадир</b> руководит командой.,👩‍🏭,f
un brigadier,бригадир,Le <b>brigadier</b> de police.,Полицейский <b>бригадир</b>.,👮,m
une couture,шов,Une <b>couture</b> à la main.,Ручной <b>шов</b>.,🧵,f
une attraction,аттракцион,Une <b>attraction</b> touristique.,Туристическая <b>достопримечательность</b>.,🎢,f
une poutre,балка,Une <b>poutre</b> en bois.,Деревянная <b>балка</b>.,🪵,f
un fauve,хищник,Un <b>fauve</b> en cage.,<b>Хищник</b> в клетке.,🦁,m
un mauvais,плохой (субст.),Trier le bon du <b>mauvais</b>.,Отделить хорошее от <b>плохого</b>.,👎,m
psychologique,психологический,Un soutien <b>psychologique</b>.,<b>Психологическая</b> поддержка.,🧠,adj
"culturel, culturelle",культурный,Un événement <b>culturel</b>.,<b>Культурное</b> мероприятие.,🎭,adj
farouche,дикий,Un animal <b>farouche</b>.,<b>Дикий</b> зверь.,🐺,adj
une dune,дюна,Une <b>dune</b> de sable.,Песчаная <b>дюна</b>.,🏜️,f
une fouille,раскопки,Des <b>fouilles</b> archéologiques.,Археологические <b>раскопки</b>.,⛏️,f
une compréhension,понимание,Une bonne <b>compréhension</b>.,Хорошее <b>понимание</b>.,🧠,f
contaminer,заражать,<b>Contaminer</b> l'eau.,<b>Заразить</b> воду.,☣️,v
un pèlerin,паломник,Un <b>pèlerin</b> vers Saint-Jacques.,<b>Паломник</b> к Сантьяго.,🚶,m
un ravin,овраг,Un <b>ravin</b> profond.,Глубокий <b>овраг</b>.,🏞️,m
un réservoir,резервуар,Un <b>réservoir</b> d'essence.,<b>Бак</b> с бензином.,⛽,m
une rançon,выкуп,Demander une <b>rançon</b>.,Требовать <b>выкуп</b>.,💰,f
"prodigieux, prodigieuse",поразительный,Un talent <b>prodigieux</b>.,<b>Поразительный</b> талант.,🌟,adj
"relatif, relative",относительный,Une valeur <b>relative</b>.,<b>Относительная</b> ценность.,↔️,adj
un fourneau,печь,Cuisiner au <b>fourneau</b>.,Готовить у <b>плиты</b>.,🔥,m
restaurer,реставрировать,<b>Restaurer</b> un tableau.,<b>Реставрировать</b> картину.,🖼️,v
"paysan, paysanne",крестьянский,La vie <b>paysanne</b>.,<b>Крестьянская</b> жизнь.,🌾,adj
charrier,перевозить; подшучивать,<b>Charrier</b> des marchandises.,<b>Перевозить</b> товары.,🚛,v
un tonneau,бочка,Un <b>tonneau</b> de vin.,<b>Бочка</b> вина.,🛢️,m
un manoir,усадьба,Un vieux <b>manoir</b>.,Старая <b>усадьба</b>.,🏰,m
un steak,стейк,Un <b>steak</b> saignant.,<b>Стейк</b> с кровью.,🥩,m
une mare,пруд,Une <b>mare</b> aux canards.,<b>Пруд</b> с утками.,🦆,f
reconstruire,восстанавливать,<b>Reconstruire</b> une ville.,<b>Восстановить</b> город.,🏗️,v
